"","Centre","Year","Pass1","Fail1","Total1","Pass1prop","Pass2","Fail2","Total2","Pass2prop","Totalpass","totalFails"
"180","Northpoint 2","2016",44927,53124,98051,0.458200324321017,46900,4926,51826,0.904951182803998,91827,58050
"181","Portlaoise","2016",13658,11446,25104,0.544056724028043,10372,864,11236,0.92310430758277,24030,12310
"182","Skibbereen","2016",7837,8637,16474,0.475719315284691,7952,572,8524,0.932895354293759,15789,9209
"183","Sligo","2016",9354,10913,20267,0.461538461538462,10119,861,10980,0.921584699453552,19473,11774
"184","Tralee","2016",12323,10983,23306,0.528747961898224,10148,898,11046,0.918703603114249,22471,11881
"185","Tullamore","2016",11808,10680,22488,0.525080042689434,9952,817,10769,0.924134088587613,21760,11497
"186","Waterford","2016",19775,20023,39798,0.496884265540982,17236,1658,18894,0.912247274266963,37011,21681
"187","Westport","2016",10606,11460,22066,0.480648962204296,10279,783,11062,0.929217139757729,20885,12243
"188","Youghal","2016",7928,8539,16467,0.481447743972794,7299,673,7972,0.915579528349222,15227,9212
"189","Abbeyfeale","2017",8410,6611,15021,0.559882830703681,6067,640,6707,0.90457730729089,14477,7251
"190","Arklow","2017",12338,13890,26228,0.470413298764679,12261,1233,13494,0.9086260560249,24599,15123
"191","Athlone","2017",7779,9385,17164,0.453216033558611,8466,818,9284,0.911891426109436,16245,10203
"192","Ballina","2017",7786,8862,16648,0.467683805862566,8115,634,8749,0.927534575380043,15901,9496
"193","Ballinasloe","2017",8048,6880,14928,0.539121114683816,6320,483,6803,0.929001910921652,14368,7363
"194","Cahir","2017",13082,14917,27999,0.467230972534733,13152,1149,14301,0.919655968114118,26234,16066
"195","Cahirciveen","2017",1695,1519,3214,0.527380211574362,1388,106,1494,0.92904953145917,3083,1625
"196","Carlow","2017",11738,13936,25674,0.457194048453689,12410,1199,13609,0.911896539055037,24148,15135
"197","Carndonagh","2017",3460,3325,6785,0.509948415622697,3077,311,3388,0.908205430932704,6537,3636
"198","Carrick-on-Shannon","2017",6012,6545,12557,0.478776777892809,5940,541,6481,0.916525227588335,11952,7086
"199","Castlerea","2017",6391,7586,13977,0.457251198397367,6747,651,7398,0.912003244120032,13138,8237
"200","Cavan","2017",6348,8360,14708,0.431601849333696,7698,900,8598,0.895324494068388,14046,9260
"201","Charleville","2017",8931,7661,16592,0.538271456123433,7052,564,7616,0.925945378151261,15983,8225
"202","Clifden","2017",1738,2443,4181,0.415690026309495,2247,183,2430,0.924691358024691,3985,2626
"203","Cork-Blarney","2017",21290,21960,43250,0.492254335260116,19450,2035,21485,0.905282755410752,40740,23995
"204","Cork-Little Island","2017",35339,31909,67248,0.525502617178206,30109,2616,32725,0.920061115355233,65448,34525
"205","Deansgrange","2017",52323,40779,93102,0.561996519945866,38430,3462,41892,0.917358922944715,90753,44241
"206","Derrybeg","2017",2453,2960,5413,0.453168298540551,2752,134,2886,0.953568953568954,5205,3094
"207","Donegal","2017",4981,5670,10651,0.467655619190686,5127,498,5625,0.911466666666667,10108,6168
"208","Drogheda","2017",17645,17296,34941,0.504994132967001,15344,1512,16856,0.910299003322259,32989,18808
"209","Dundalk","2017",9867,11065,20932,0.471383527613224,10124,1169,11293,0.896484547950058,19991,12234
"210","Ennis","2017",13887,15696,29583,0.469425007605719,14365,1476,15841,0.906824064137365,28252,17172
"211","Enniscorthy","2017",16632,18222,34854,0.477190566362541,16335,1539,17874,0.913897280966767,32967,19761
"212","Fonthill","2017",40476,49276,89752,0.450976022818433,40841,4520,45361,0.90035493044686,81317,53796
"213","Galway","2017",26155,27855,54010,0.484262173671542,25819,2544,28363,0.910305679935127,51974,30399
"214","Greenhills","2017",28817,32394,61211,0.470781395500809,31947,3346,35293,0.905193664466041,60764,35740
"215","Kells","2017",15138,16044,31182,0.485472387916105,14444,1575,16019,0.901679255883638,29582,17619
"216","Kilkenny","2017",14705,11047,25752,0.571023609816713,10620,754,11374,0.933708457886408,25325,11801
"217","Killarney","2017",10094,8487,18581,0.543243097788063,8081,560,8641,0.935192686031709,18175,9047
"218","Letterkenny","2017",9690,10755,20445,0.473954512105649,10246,938,11184,0.916130185979971,19936,11693
"219","Limerick","2017",25109,25324,50433,0.497868459143815,24232,2424,26656,0.90906362545018,49341,27748
"220","Longford","2017",5741,7656,13397,0.428528775098903,7051,761,7812,0.902585765488991,12792,8417
"221","Macroom","2017",8393,7291,15684,0.535131344044886,6630,442,7072,0.9375,15023,7733
"222","Monaghan","2017",4904,7923,12827,0.382318546815311,7168,1024,8192,0.875,12072,8947
"223","Mullingar","2017",8460,10295,18755,0.45107971207678,9398,901,10299,0.912515778230896,17858,11196
"224","Naas","2017",20978,23095,44073,0.475983028157829,20335,1918,22253,0.913809374016986,41313,25013
"225","Nenagh","2017",11192,11195,22387,0.499932996828517,10147,946,11093,0.914720995222212,21339,12141
"226","Northpoint 1","2017",28413,31933,60346,0.47083485235144,28707,3098,31805,0.902593931771734,57120,35031
"227","Northpoint 2","2017",42404,46556,88960,0.476663669064748,43110,4104,47214,0.913076629813191,85514,50660
"228","Portlaoise","2017",13111,10863,23974,0.546884124468174,9843,811,10654,0.923878355547212,22954,11674
"229","Skibbereen","2017",7919,7864,15783,0.501742381042894,7322,513,7835,0.934524569240587,15241,8377
"230","Sligo","2017",8863,9962,18825,0.470810092961487,9187,700,9887,0.929199959542834,18050,10662
